ACTO DE GOBIERNO PODER Y DERECHO ADMINISTRATIVO;RIOS ELIZONDO;0;86,,,,,
ACTO DE PRESENCIA;MOLLOY SYLVIA;0;93,,,,,
ACTO SEXUAL;MUÑOZ, JESUS      -EL JUGADOR;7;7,,,,
ACTORES SOCIALES Y DEMANDAS URBANAS;BOLOS, SILVIA;0;79,,,,
ACTOS DE CONTRUCCION;HEFFERMAN, WILLIAMS;11,82;21,67,,
ACTOS DE FE;SEGAL, ERICH;32,83;83,6,,
ACTOS ILICITOS DE LAS ORG. AUXILIARES DEL CRED. Y;FENTANES MENDEZ CESAR;0;420,,,,,
ACTOS ILICITOS DE LOS BANCOS Y LOS JUECES LOS;FENTANES MENDEZ, CESAR;0;340,,,,
ACTUACION TEATRAL;LEE;6,9;12,65,,,
ACTUALIZA TU PC;JAMSA;0;190,,,,,
ACTUALIZACION A MICROSOFT WINDOWS 95 PASO A PASO;CATAPULT;0;165,,,,,
ACTUALIZACION A MICROSOFT WINDOWS 95;CHORDA, RAMON;0;141,,,,
ACTUALIZACIONES Y REPARACION DE PC PARA INEXPERTOS;MEGABYTE;0;161,7,,,,
ACUACULTURA. CRIANZA Y CULTIVO DE ORGANISMOS MARIN;BARDACH;35,75;176,,,,
ACUACULTURA. DISEÑO Y CONSTRUCCION DE SISTEMAS;WHEATON FREDRICK;35,75;176,,,,
ACUARIO DE AGUA FRIA EL;MARTTY, HUGO;0;79,,,,
ACUARIO EL C-2030;DAUNER, ENRIQUE;0;64,,,,
ACUARIO EL;DAIMON;55;60,5,,,,
ACUARIO MARINO EL;MARTTY, HUGO;0;79,,,,
ACUARIO TROPICAL EL;MARTTY, HUGO;0;91,,,,
ACUERDATE DE MI;HIGGINS CLARK, MARY;0;125,,,,
ACUERDO DE LIBRE COMERCIO MEXICO-ESTADOS UNIDOS;C.I.D.A.C.;23,7;56,1,,,
ACUERDOS SEXUALES MATRIMONIOS Y AVENTURAS;REIBSTEIN, JANET;0;45,65,,,
ACUICULTURA EN PALABRAS LA;DE LA LANZA ESPINO, GUADALUPE;0;90,,,,
ACUMULACION ORIGINARIA DEL CAPITAL;MARX, CARLOS;8,19;13,86,,
ACUMULADORES ELECTROQUIMICOS;FULLEA GARCIA JOSE;0;67,,,,,
ACUPUNTURA (2 TOMOS);SOULIE DE MORANT;0;707,3,,,,
ACUPUNTURA CHINA;A.LI-YAU;0;23,1,,,,
ACUPUNTURA CHINA;TAN;0;0,,,,,
ACUPUNTURA LA;MOLLER, ERWIN;13;13,,,,
ACUPUNTURA SIN AGUJAS (SHIATSU-MASAJE JAPONES);OHASHI, WATARU;0;51,,,,
ACUPUNTURA SIN AGUJAS;KENYON;8,4;15,4,,,
ACUPUNTURA Y DIGITOPUNTURA;RUBIN;52,5;145,,,,
ACUPUNTURA Y HOMEOPATIA;RIVAS VILCHIS, JOSE;0;75,,,,
ACUPUNTURA;BEAU, GEORGES;0;55,,,,
ADAMAS;CHAVARRIA HECTOR;0;25,,,,,
ADAPTACION VITAL Y PSICOLOGIA DE LA INTELIGENCIA;PIAGET, JEAN;13;32,,,,
ADELGACE COMIENDO DELICIOSO;BRUN, REGINE;0;69,,,,
ADELGACE COMIENDO;EMU;5,7;23,1,,,
ADELGACE NATURALMENTE;MOLLER, ERWIN;13;13,5,,,
ADELGACE NUTRIENDOSE;SAABAD JAZMIN;0;35,,,,,
ADELGACE;COBOS;0;38,5,,,,
ADELGAZAR COMIENDO;RIBEIRO, LAIR;0;86,,,,
ADEN;GARAT ANNE MARIE;0;129,,,,,
ADICCION A LA COCAINA LA;WASHTON, ARNOLD;0;290,,,,
ADICCIONES DIMENSION IMPACTO Y PERSPECTIVAS LAS;TAPIA CONYER, ROBERTO;0;148,,,,
ADICCIONES LAS;VELASCO;0;80,,,,,
ADICTOS Y ADICCIONES;COLEMAN, VERNON;13,59;31,9,,
ADIESTRAMIENTO BASICO EN CIRUGIA;LUGO;37,05;85,8,,,
ADIESTRAMIENTO DEL CABALLO;EDITORIAL ALBATROS;0;74,,,,,
ADIESTRAMIENTO DEL PASTOR ALEMAN;DE AZAR, ROSA;0;79,,,,
ADIESTRAMIENTO DEL PERRO EL C-16159;ROSSI, VALERIA;0;109,,,,
ADIESTRE A SU PERRO PARA GUARDA Y DEFENSA C-16091;WILKINS, JOHN;0;64,,,,
ADIESTRE A SU PERRO PARA LA GUARDA;CHAPMANN, JOHN;0;109,,,,
ADIESTRE A SU PERRO;CHARTIER, G.;35;38,5,,,
ADIOS A LA CELULITIS;COLLINS JANE;0;35,,,,,
ADIOS A LA OBESIDAD EN SEIS SEMANAS;ALVAREZ CORDERO, RAFAEL;0;30,,,,
ADIOS A LAS VEGAS;O'BRIEN, JOHN;0;79,,,,
